service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
cal_CBAO028-1,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-2,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028-3,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028-4,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-5,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-6,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-7,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-8,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028-9,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-10,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028-11,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-12,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028-13,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-14,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028-15,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-16,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028-17,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-18,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028-19,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028-20,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-21,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-22,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028-23,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028-24,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028B-1,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028B-2,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028B-3,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028B-4,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028B-5,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-6,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-7,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-8,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-9,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-10,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-11,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-12,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-13,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-14,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-15,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028B-16,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-17,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028B-18,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028B-19,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-20,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-21,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028B-22,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028B-23,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-24,1,1,1,1,0,0,0,20180108,00010101
cal_CBAO028B-25,0,0,0,0,1,0,0,20180108,00010101
cal_CBAO028B-26,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028B-27,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-28,1,1,1,1,0,0,0,20180108,00010101
cal_CBAO028B-29,0,0,0,0,1,0,0,20180108,00010101
cal_CBAO028B-30,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028B-31,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-32,1,1,1,1,0,0,0,20180108,00010101
cal_CBAO028B-33,0,0,0,0,1,0,0,20180108,00010101
cal_CBAO028B-34,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028B-35,0,0,0,0,0,0,1,20180108,00010101
cal_CBAO028B-36,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028B-37,0,0,0,0,0,1,0,20180108,00010101
cal_CBAO028A-1,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028A-2,0,0,0,0,0,0,0,20180108,00010101
cal_CBAO028A-3,0,0,0,0,0,0,0,20180108,00010101
