trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_time,shape_dist_traveled
CBAO028-1,07:00:00,07:00:00,5710WDB25428,1,,,,
CBAO028-1,07:04:00,07:04:00,5710WDB48411,2,,,,
CBAO028-1,07:06:00,07:06:00,5710AWA10243,3,,,,
CBAO028-1,07:06:00,07:06:00,5710AWA10245,4,,,,
CBAO028-1,07:07:00,07:07:00,5710AWA10247,5,,,,
CBAO028-1,07:09:00,07:09:00,5710AWA10542,6,,,,
CBAO028-1,07:10:00,07:10:00,5710AWA10539,7,,,,
CBAO028-1,07:11:00,07:11:00,5710AWA10537,8,,,,
CBAO028-1,07:12:00,07:12:00,5710AWA10536,9,,,,
CBAO028-1,07:13:00,07:13:00,5710AWA10553,10,,,,
CBAO028-1,07:13:00,07:13:00,5710AWA10555,11,,,,
CBAO028-1,07:13:00,07:13:00,5710AWA10557,12,,,,
CBAO028-1,07:14:00,07:14:00,5710AWA10559,13,,,,
CBAO028-1,07:15:00,07:15:00,5710AWA10560,14,,,,
CBAO028-1,07:15:00,07:15:00,5710AWA10562,15,,,,
CBAO028-1,07:15:00,07:15:00,5710AWA10563,16,,,,
CBAO028-1,07:16:00,07:16:00,5710AWA10566,17,,,,
CBAO028-1,07:16:00,07:16:00,5710AWA10671,18,,,,
CBAO028-1,07:17:00,07:17:00,5710AWA10674,19,,,,
CBAO028-1,07:17:00,07:17:00,5710AWA10676,20,,,,
CBAO028-1,07:18:00,07:18:00,5710AWA10677,21,,,,
CBAO028-1,07:19:00,07:19:00,5710AWA10922,22,,,,
CBAO028-1,07:20:00,07:20:00,5710AWA10924,23,,,,
CBAO028-1,07:21:00,07:21:00,5710AWA12980,24,,,,
CBAO028-1,07:22:00,07:22:00,5710AWA12982,25,,,,
CBAO028-1,07:23:00,07:23:00,5710AWM26315,26,,,,
CBAO028-1,07:25:00,07:25:00,5710AWA10899,27,,,,
CBAO028-1,07:25:00,07:25:00,5710AWA10901,28,,,,
CBAO028-1,07:26:00,07:26:00,5710AWA10903,29,,,,
CBAO028-1,07:28:00,07:28:00,5710AWA10905,30,,,,
CBAO028-1,07:28:00,07:28:00,5710AWA10875,31,,,,
CBAO028-1,07:29:00,07:29:00,5710AWA10874,32,,,,
CBAO028-1,07:30:00,07:30:00,5710AWA10872,33,,,,
CBAO028-1,07:31:00,07:31:00,5710AWA10907,34,,,,
CBAO028-1,07:32:00,07:32:00,5710AWA10910,35,,,,
CBAO028-1,07:33:00,07:33:00,5710AWA10912,36,,,,
CBAO028-1,07:34:00,07:34:00,5710AWA10914,37,,,,
CBAO028-1,07:38:00,07:38:00,5710AWA10923,38,,,,
CBAO028-1,07:38:00,07:38:00,5710AWA10925,39,,,,
CBAO028-1,07:39:00,07:39:00,5710AWA10928,40,,,,
CBAO028-1,07:41:00,07:41:00,5710AWA10934,41,,,,
CBAO028-1,07:41:00,07:41:00,5710AWA10936,42,,,,
CBAO028-1,07:42:00,07:42:00,5710AWA10938,43,,,,
CBAO028-1,07:42:00,07:42:00,5710AWA10939,44,,,,
CBAO028-1,07:43:00,07:43:00,5710AWM26288,45,,,,
CBAO028-1,07:43:00,07:43:00,5710AWA10943,46,,,,
CBAO028-1,07:44:00,07:44:00,5710AWA10946,47,,,,
CBAO028-1,07:45:00,07:45:00,5710WDB25312,48,,,,
CBAO028-1,07:45:00,07:45:00,5710WDB23554,49,,,,
CBAO028-1,07:47:00,07:47:00,5710AWA10954,50,,,,
CBAO028-1,07:47:00,07:47:00,5710AWA10956,51,,,,
CBAO028-1,07:48:00,07:48:00,5710WDB25113,52,,,,
CBAO028-1,07:50:00,07:50:00,5710AWA10958,53,,,,
CBAO028-1,07:51:00,07:51:00,5710AWA10565,54,,,,
CBAO028-1,07:51:00,07:51:00,5710AWA10564,55,,,,
CBAO028-1,07:53:00,07:53:00,5710AWA10561,56,,,,
CBAO028-1,07:53:00,07:53:00,5710AWA10558,57,,,,
CBAO028-1,07:54:00,07:54:00,5710AWA10556,58,,,,
CBAO028-1,07:55:00,07:55:00,5710AWA10554,59,,,,
CBAO028-1,07:56:00,07:56:00,5710AWA10535,60,,,,
CBAO028-1,07:56:00,07:56:00,5710AWA10538,61,,,,
CBAO028-1,07:58:00,07:58:00,5710AWA10540,62,,,,
CBAO028-1,08:00:00,08:00:00,5710AWA10541,63,,,,
CBAO028-1,08:01:00,08:01:00,5710AWA10248,64,,,,
CBAO028-1,08:04:00,08:04:00,5710AWA10246,65,,,,
CBAO028-1,08:05:00,08:05:00,5710AWA10244,66,,,,
CBAO028-1,08:19:00,08:19:00,5710WDB25428,67,,,,
CBAO028-2,07:00:00,07:00:00,5710WDB25428,1,,,,
CBAO028-2,07:05:00,07:05:00,5710WDB48411,2,,,,
CBAO028-2,07:07:00,07:07:00,5710AWA10243,3,,,,
CBAO028-2,07:07:00,07:07:00,5710AWA10245,4,,,,
CBAO028-2,07:08:00,07:08:00,5710AWA10247,5,,,,
CBAO028-2,07:10:00,07:10:00,5710AWA10542,6,,,,
CBAO028-2,07:10:00,07:10:00,5710AWA10539,7,,,,
CBAO028-2,07:12:00,07:12:00,5710AWA10537,8,,,,
CBAO028-2,07:12:00,07:12:00,5710AWA10536,9,,,,
CBAO028-2,07:13:00,07:13:00,5710AWA10553,10,,,,
CBAO028-2,07:13:00,07:13:00,5710AWA10555,11,,,,
CBAO028-2,07:13:00,07:13:00,5710AWA10557,12,,,,
CBAO028-2,07:14:00,07:14:00,5710AWA10559,13,,,,
CBAO028-2,07:15:00,07:15:00,5710AWA10560,14,,,,
CBAO028-2,07:15:00,07:15:00,5710AWA10562,15,,,,
CBAO028-2,07:15:00,07:15:00,5710AWA10563,16,,,,
CBAO028-2,07:16:00,07:16:00,5710AWA10566,17,,,,
CBAO028-2,07:16:00,07:16:00,5710AWA10671,18,,,,
CBAO028-2,07:17:00,07:17:00,5710AWA10674,19,,,,
CBAO028-2,07:17:00,07:17:00,5710AWA10676,20,,,,
CBAO028-2,07:18:00,07:18:00,5710AWA10677,21,,,,
CBAO028-2,07:19:00,07:19:00,5710AWA10922,22,,,,
CBAO028-2,07:20:00,07:20:00,5710AWA10924,23,,,,
CBAO028-2,07:21:00,07:21:00,5710AWA12980,24,,,,
CBAO028-2,07:22:00,07:22:00,5710AWA12982,25,,,,
CBAO028-2,07:24:00,07:24:00,5710AWM26315,26,,,,
CBAO028-2,07:26:00,07:26:00,5710AWA10899,27,,,,
CBAO028-2,07:26:00,07:26:00,5710AWA10901,28,,,,
CBAO028-2,07:26:00,07:26:00,5710AWA10903,29,,,,
CBAO028-2,07:27:00,07:27:00,5710AWA10905,30,,,,
CBAO028-2,07:27:00,07:27:00,5710AWA10875,31,,,,
CBAO028-2,07:27:00,07:27:00,5710AWA10874,32,,,,
CBAO028-2,07:28:00,07:28:00,5710AWA10872,33,,,,
CBAO028-2,07:28:00,07:28:00,5710AWA10907,34,,,,
CBAO028-2,07:29:00,07:29:00,5710AWA10910,35,,,,
CBAO028-2,07:29:00,07:29:00,5710AWA10912,36,,,,
CBAO028-2,07:30:00,07:30:00,5710AWA10914,37,,,,
CBAO028-2,07:32:00,07:32:00,5710AWA10923,38,,,,
CBAO028-2,07:32:00,07:32:00,5710AWA10925,39,,,,
CBAO028-2,07:32:00,07:32:00,5710AWA10928,40,,,,
CBAO028-2,07:34:00,07:34:00,5710CAA02625,41,,,,
CBAO028-2,07:34:00,07:34:00,5710AWA10943,42,,,,
CBAO028-2,07:37:00,07:37:00,5710AWA10946,43,,,,
CBAO028-2,07:38:00,07:38:00,5710WDB25312,44,,,,
CBAO028-2,07:38:00,07:38:00,5710WDB23554,45,,,,
CBAO028-2,07:39:00,07:39:00,5710AWA10954,46,,,,
CBAO028-2,07:39:00,07:39:00,5710AWA10956,47,,,,
CBAO028-2,07:40:00,07:40:00,5710WDB25113,48,,,,
CBAO028-2,07:41:00,07:41:00,5710AWA10958,49,,,,
CBAO028-2,07:42:00,07:42:00,5710AWA10565,50,,,,
CBAO028-2,07:42:00,07:42:00,5710AWA10564,51,,,,
CBAO028-2,07:44:00,07:44:00,5710AWA10561,52,,,,
CBAO028-2,07:45:00,07:45:00,5710AWA10558,53,,,,
CBAO028-2,07:46:00,07:46:00,5710AWA10556,54,,,,
CBAO028-2,07:47:00,07:47:00,5710AWA10554,55,,,,
CBAO028-2,07:47:00,07:47:00,5710AWA10535,56,,,,
CBAO028-2,07:48:00,07:48:00,5710AWA10538,57,,,,
CBAO028-2,07:49:00,07:49:00,5710AWA10540,58,,,,
CBAO028-2,07:50:00,07:50:00,5710AWA10541,59,,,,
