stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,vehicle_type
5710WDB25428,cditdmj,Hayes Bridge Road,51.4774146958,-3.1743696773,NULL,3
5710WDB48411,cditmam,Guildford Street,51.4814433755,-3.1707433281,NULL,3
5710AWA10243,cdidta,West Grove 5,51.4842683898,-3.1687850288,NULL,3
5710AWA10245,cdimwpw,Richmond Crescent,51.4859985863,-3.1702119092,NULL,3
5710AWA10247,cdimwmg,Lowther Road,51.4886108961,-3.1715462899,NULL,3
5710AWA10542,cdidada,Royal George Hotel,51.4929762412,-3.1720183362,NULL,3
5710AWA10539,cdidaga,Dalcross Street,51.4962885597,-3.1734862551,NULL,3
5710AWA10537,cdiawmp,Tydfil Place,51.4998475123,-3.1754649725,NULL,3
5710AWA10536,cdiapm,Shirley Road,51.5009767319,-3.1758398039,NULL,3
5710AWA10553,cdiawtg,Wedal Road,51.503115237,-3.1759957135,NULL,3
5710AWA10555,cdipajm,Grasmere Avenue,51.5048000724,-3.1765577979,NULL,3
5710AWA10557,cdipamw,Promenade West,51.506571015,-3.1766034237,NULL,3
5710AWA10559,cdipajp,Highfield Road,51.510913691,-3.1766432748,NULL,3
5710AWA10560,cdipama,Jellicoe Gardens,51.5137691856,-3.1770339122,NULL,3
5710AWA10562,cdidjwt,Tyrwhitt Crescent,51.5154421078,-3.1769905736,NULL,3
5710AWA10563,cdidgwg,Cardiff High School,51.5168324244,-3.1764355216,NULL,3
5710AWA10566,cdidjtg,Rhydypenau Library,51.5195715231,-3.1785671764,NULL,3
5710AWA10671,cdidjwm,Three Arches Ave,51.5217435172,-3.1798628389,NULL,3
5710AWA10674,cdijmga,Ewenny Road,51.5252020116,-3.1810910198,NULL,3
5710AWA10676,cdijpam,Usk Road,51.5268199783,-3.1811473108,NULL,3
5710AWA10677,cdijmjp,Baptist Church,51.5283847879,-3.1846908549,NULL,3
5710AWA10922,cdijmpg,Nat West,51.5291442309,-3.1878388542,NULL,3
5710AWA10924,cdijmjw,Church,51.5302343084,-3.1894097861,NULL,3
5710AWA12980,cdijpda,Wolf`s Castle Avenue,51.533021484,-3.1894391948,NULL,3
5710AWA12982,cdijmpj,Llanon Road,51.5346349102,-3.1899426291,NULL,3
5710AWM26315,cdipjpj,Copperfield Drive,51.5370973572,-3.1909584876,NULL,3
5710AWA10899,cdipmaj,Sainsbury's,51.5381020371,-3.1920805535,NULL,3
5710AWA10901,cdipjtw,Launcelot Cres,51.5371434357,-3.1961503803,NULL,3
5710AWA10903,cdipmad,Orchard Castle,51.5377512183,-3.199151005,NULL,3
5710AWA10905,cdipjmt,Camelot Way,51.5392928361,-3.2049015646,NULL,3
5710AWA10875,cdipjta,Crematorium Top,51.538845045,-3.2064758409,NULL,3
5710AWA10874,cdipjpt,Crematorium,51.5354494199,-3.2061553474,NULL,3
5710AWA10872,cdimpaw,Johnston Road,51.5319660165,-3.204751314,NULL,3
5710AWA10907,cdijmja,Johnston Road,51.5305179261,-3.2021613577,NULL,3
5710AWA10910,cdijgwp,Angle Place,51.5327252363,-3.1999848527,NULL,3
5710AWA10912,cdijmpt,Llanon Road,51.5338056802,-3.1954429132,NULL,3
5710AWA10914,cdijpaw,Wolf`s Castle,51.5328035276,-3.1914230871,NULL,3
5710AWA10923,cdijmpa,Church,51.5294799231,-3.1893180409,NULL,3
5710AWA10925,cdijmpd,Church Inn,51.5288863964,-3.190210777,NULL,3
5710AWA10928,cdijmtg,Newborough Ave,51.5282597398,-3.1943605904,NULL,3
5710AWA10934,cdidap,Government Buildings,51.5255413986,-3.1946354038,NULL,3
5710AWA10936,cdiadpa,Parc Ty Glas,51.5239591054,-3.1946083995,NULL,3
5710AWA10938,cdiadjt,Lambourne Crescent,51.5230843531,-3.1922071698,NULL,3
5710AWA10939,cdiadpw,S4C,51.5241854634,-3.1918034994,NULL,3
